#{"t_start": 1787664758.3272314, "env_id": "None"}
r,l,t
73.367202,200,43.807575
119.957456,200,44.197665
7.907902,99,44.390498
47.336501,200,44.781317
11.567509,76,44.931443
39.309419,200,45.324385
22.613038,64,45.451349
86.164732,200,45.84502
60.969798,200,46.839942
58.892445,200,47.280407
65.989592,122,47.56063
26.553945,165,47.912549
14.816072,50,48.020912
42.119219,200,48.458004
17.04621,54,48.573651
109.036403,200,49.010473
67.364868,200,49.447779
25.089262,79,49.616032
47.988514,200,50.095736
27.495953,200,50.522968
131.475058,200,51.609648
103.95423,200,52.031445
114.955441,200,52.456077
43.622536,179,52.856867
86.951742,200,53.279526
104.351004,200,53.698506
132.137748,200,54.123515
100.796089,200,54.538431
92.277688,200,54.953475
75.743579,200,55.379009
73.842109,200,55.810508
123.568127,200,56.885719
90.851696,200,57.30767
121.976928,200,57.722827
71.946218,200,58.128105
81.709012,200,58.53275
141.159582,200,58.953489
71.084892,200,59.353778
127.052466,200,59.767713
126.512988,200,60.18162
66.892282,200,60.574906
89.05101,200,61.52504
124.91655,200,61.916538
178.852914,200,62.317255
120.694333,200,62.708815
97.100827,200,63.101422
86.227857,200,63.490423
158.879066,200,63.877539
128.794027,200,64.273942
123.078263,200,64.664052
162.904218,200,65.105951
118.071821,200,66.052905
163.621301,200,66.443685
164.285493,200,66.834479
139.817791,200,67.226717
151.974791,200,67.619162
149.870712,200,68.004774
104.05042,200,68.418098
149.581808,200,68.810296
154.047589,200,69.201523
133.837295,200,69.591992
148.080451,200,69.98125
135.193619,200,70.917083
135.960383,200,71.319568
151.998405,200,71.706687
168.008828,200,72.100905
141.540453,200,72.493409
144.740225,200,72.885804
134.027414,200,73.27437
154.987933,200,73.668348
157.539914,200,74.055972
115.103947,200,74.461424
152.821875,200,75.413553
156.84039,200,75.801672
185.169592,200,76.194367
164.671378,200,76.580619
141.838794,200,76.969929
169.466636,200,77.375366
165.310922,200,77.766279
178.311215,200,78.159269
192.06081,200,78.544586
150.095621,200,78.933742
177.993301,200,79.882023
153.60738,200,80.28695
172.998243,200,80.673986
183.657666,200,81.062711
140.313305,200,81.455796
136.414724,200,81.847292
177.467358,200,82.237615
153.346064,200,82.630582
197.595886,200,83.021615
151.524035,200,83.423118
185.085909,200,84.342789
192.878264,200,84.738138
174.260051,200,85.130425
177.280745,200,85.516771
177.630049,200,85.908949
185.674921,200,86.300882
168.955184,200,86.707326
178.586175,200,87.095298
164.715774,200,87.483141
163.985261,200,87.874211
175.472702,200,88.268261
171.158853,200,89.307643
178.177681,200,89.764766
186.170396,200,90.195446
173.911265,200,90.632416
199.133402,200,91.0664
173.454974,200,91.493
141.533288,200,91.912874
196.510362,200,92.338597
176.995001,200,92.783931
195.271912,200,93.207581
165.465219,200,94.306711
205.057441,200,94.733207
187.398376,200,95.15934
175.558736,200,95.613536
209.782273,200,96.074293
160.517282,200,96.471033
181.568981,200,96.871377
152.388704,200,97.265314
184.720699,200,97.659224
191.179355,200,98.055051
183.359676,200,99.095797
207.014278,200,99.490063
166.996268,200,99.885623
194.110919,200,100.317256
169.310155,200,100.706157
185.163739,200,101.099156
193.301436,200,101.523485
188.440173,200,101.957826
186.078093,200,102.362765
212.479055,200,102.759539
183.674284,200,103.707073
182.030989,200,104.097359
182.667622,200,104.492563
199.525645,200,104.91294
179.343883,200,105.316967
220.435117,200,105.717313
190.652822,200,106.119262
191.372946,200,106.502798
167.990836,200,106.901576
179.8336,200,107.289231
180.140395,200,108.325663
212.011274,200,108.788936
193.198455,200,109.198194
210.487228,200,109.590361
201.741446,200,109.99838
207.616745,200,110.413775
211.834044,200,110.847667
199.859038,200,111.24323
204.77371,200,111.633407
208.802811,200,112.026415
200.579483,200,112.424218
188.672279,200,113.44445
207.966907,200,113.855397
193.458241,200,114.2445
203.588391,200,114.640329
191.982449,200,115.035895
174.37323,200,115.443433
185.659105,200,115.834945
186.949409,200,116.225353
206.51709,200,116.624455
184.992461,200,117.037793
211.312754,200,118.002939
189.737114,200,118.396536
209.920992,200,118.791581
186.063016,200,119.195478
167.2087,200,119.606864
193.938391,200,120.01448
204.295767,200,120.427807
215.791381,200,120.835683
209.23519,200,121.230338
213.596232,200,121.649782
221.098944,200,122.582032
189.407772,200,122.995917
208.374981,200,123.391124
202.352252,200,123.782966
209.119177,200,124.184221
221.630727,200,124.590408
222.879939,200,124.987286
183.850978,200,125.378392
187.994632,200,125.77293
212.515794,200,126.195466
207.602588,200,127.206587
204.085649,200,127.603745
214.860246,200,128.041668
200.498124,200,128.427809
221.248241,200,128.820904
209.790848,200,129.218749
221.264216,200,129.611386
219.869584,200,129.998795
221.109528,200,130.381681
219.775864,200,130.769614
209.513869,200,131.161562
226.09482,200,132.081532
221.228403,200,132.48241
196.488703,200,132.869811
217.230401,200,133.261745
214.380746,200,133.648586
196.87014,200,134.04132
211.332658,200,134.430925
209.82392,200,134.81499
209.944861,200,135.222641
209.21459,200,135.613465
218.711825,200,136.538337
222.662642,200,136.926019
210.4891,200,137.314667
224.581748,200,137.701824
207.98239,200,138.092714
213.87272,200,138.488036
216.935492,200,138.876344
216.501259,200,139.264235
225.451842,200,139.647772
215.476194,200,140.041483
215.860597,200,140.993699
219.020776,200,141.392878
225.011917,200,141.781773
220.989998,200,142.169417
209.535462,200,142.559568
217.896484,200,142.948593
215.661842,200,143.332844
217.190325,200,143.7227
217.970174,200,144.111401
211.928384,200,144.514464
213.499844,200,145.45555
216.224851,200,145.847889
217.971078,200,146.236825
219.991365,200,146.620992
220.287746,200,147.013282
203.011225,200,147.420635
206.252424,200,147.809791
189.430884,200,148.193627
217.344872,200,148.587153
216.732417,200,148.978787
219.765253,200,149.367186
221.558682,200,150.296728
223.858993,200,150.701298
222.586785,200,151.09236
217.618023,200,151.478206
225.315957,200,151.86579
211.415056,200,152.255625
219.060199,200,152.642785
216.727976,200,153.030335
199.103667,200,153.420654
215.68502,200,153.820442
226.737087,200,154.760572
226.141225,200,155.147099
221.886861,200,155.536582
216.294968,200,155.921657
221.053908,200,156.306645
221.146899,200,156.711184
209.324416,200,157.10392
224.604722,200,157.493761
204.293366,200,157.882179
222.239545,200,158.27465
218.065117,200,159.203685
214.753777,200,159.608479
209.033997,200,159.999882
224.324237,200,160.394552
215.636589,200,160.784629
226.105098,200,161.178489
216.225774,200,161.566451
221.183351,200,161.963215
223.702858,200,162.360123
225.161086,200,162.764431
221.665808,200,163.706908
217.837135,200,164.095574
221.04885,200,164.492789
221.214146,200,164.883624
228.751059,200,165.281801
225.07893,200,165.712041
211.948608,200,166.12679
210.668093,200,166.516499
220.591808,200,166.952105
212.026291,200,167.416044
215.713,200,167.832689
223.134194,200,168.89254
219.153726,200,169.282971
220.343292,200,169.692673
229.082252,200,170.106191
225.444912,200,170.498838
220.751412,200,170.897439
225.276881,200,171.30589
196.678821,200,171.692756
227.561415,200,172.103507
230.722533,200,172.501529
228.135381,200,173.484771
226.045293,200,173.876043
225.744623,200,174.26671
231.134595,200,174.649455
224.703467,200,175.061733
229.002144,200,175.46001
224.038834,200,175.877164
220.29163,200,176.26788
221.498823,200,176.6542
218.721204,200,177.041083
229.416644,200,178.05987
223.657267,200,178.459587
227.621364,200,178.861943
230.082452,200,179.260108
217.904371,200,179.649191
218.286459,200,180.039812
224.127983,200,180.435181
229.690712,200,180.828475
220.254747,200,181.238246
226.796174,200,181.641169
228.513819,200,182.617655
220.612394,200,183.023661
226.374172,200,183.427578
221.081542,200,183.841349
226.83613,200,184.256644
230.270357,200,184.660728
223.411003,200,185.059623
229.632005,200,185.472268
227.554594,200,185.879579
225.113143,200,186.291458
224.798516,200,186.697462
226.27651,200,187.673614
230.700225,200,188.068339
225.954413,200,188.460072
226.466431,200,188.853376
222.429302,200,189.249629
227.647502,200,189.638734
220.802758,200,190.03571
223.467504,200,190.435173
219.624842,200,190.829667
214.013574,200,191.228575
230.645421,200,192.160803
226.619031,200,192.56998
229.509115,200,192.966209
224.273609,200,193.376448
225.144494,200,193.761579
230.014757,200,194.158294
231.699471,200,194.545562
228.52596,200,194.932155
226.144736,200,195.329423
219.895117,200,195.730212
229.485323,200,196.720151
228.469841,200,197.129763
227.004429,200,197.524365
228.073885,200,197.928866
227.717247,200,198.322775
223.125894,200,198.714746
228.470414,200,199.113529
229.100226,200,199.523474
225.89801,200,199.916117
230.706185,200,200.32405
219.649877,200,201.292908
229.82059,200,201.703723
229.521217,200,202.09884
228.08428,200,202.50868
228.515615,200,202.914903
227.418671,200,203.326375
228.442873,200,203.735871
223.422855,200,204.137219
226.737889,200,204.531017
223.623785,200,204.936839
215.982713,200,205.347498
226.439499,200,206.287964
229.099522,200,206.68009
227.962461,200,207.088773
218.546497,200,207.494826
231.290991,200,207.903162
228.556854,200,208.314348
226.581098,200,208.727612
230.484793,200,209.134725
230.15386,200,209.551411
227.28101,200,209.959386
228.068368,200,210.934272
229.630566,200,211.344403
224.339604,200,211.769456
228.593581,200,212.182186
231.068853,200,212.591347
229.514838,200,213.0043
230.807369,200,213.419552
227.942489,200,213.819821
229.160763,200,214.222176
228.33306,200,214.635977
232.252361,200,215.578443
