time_s,desired_position_rad,desired_velocity_rad_s,desired_acceleration_rad_s2,actual_position_rad,actual_velocity_rad_s,position_error_rad,feedback_component,model_component,command_torque_Nm,gravity_torque_Nm,dynamic_bias_Nm,virtual_acceleration_rad_s2
2.9859999999998927,-0.4874389204549736,-0.7844061714355098,-0.1239728859600262,-0.4872072281296305,-0.7764280021556104,-0.00023169232534309137,-0.7529718345283094,-1.131859293573658,17.863685818673027,19.069994548113744,18.995545112246685,-0.3703470774106783
2.9879999999998925,-0.48900797042044963,-0.7846386320697505,-0.10848698351523477,-0.4887605868733962,-0.776679371882837,-0.000247383547053448,-0.7537154814264044,-1.0852746398276674,17.985060227874644,19.14476559800488,19.07033486770231,-0.35510456875389995
2.9899999999998923,-0.4905774543324321,-0.7848401165143135,-0.09299679819009363,-0.4903143870276635,-0.7769000771336574,-0.00026306730476860496,-0.7544299488138336,-1.038647744421555,18.106457945172824,19.219514555005315,19.14510568959438,-0.3398482296720171
2.991999999999892,-0.4921473102303831,-0.785010616814938,-0.07750294151060033,-0.4918685672462284,-0.7770901092824646,-0.00027874298415470067,-0.7551152052232514,-0.9919804448101224,18.227873954026524,19.294238245989735,19.219854398836645,-0.3245786613851449
2.993999999999892,-0.4937174761390807,-0.7851501262405641,-0.06200602514767812,-0.49342306616805925,-0.7772494609154301,-0.0002944099710214254,-0.7557712202920328,-0.9452745799926641,18.349303242467478,19.36893350414299,19.29457782246014,-0.30929646561981644
2.9959999999998916,-0.4952878900710629,-0.7852586392835987,-0.04650666089305439,-0.4949778224197219,-0.7773781258313018,-0.0003100676513410061,-0.7563979647351311,-0.8985319904121293,18.470740803397053,19.4435971691557,19.36927279380918,-0.2940022445759846
2.9979999999998914,-0.49685849002907667,-0.7853361516601326,-0.03100546063509077,-0.4965327746178061,-0.7774760990421012,-0.00032571541127057735,-0.7569954103213548,-0.8517545178575625,18.59218163487889,19.518226087418665,19.443936152736452,-0.27869660089508963
2.999999999999891,-0.498429214008525,-0.7853826603101097,-0.015503036334631124,-0.4980878613713535,-0.7775433767737233,-0.0003413526371714992,-0.7575635298515749,-0.804944005368527,18.713620740428436,19.59281711221621,19.51856474579696,-0.2633801376287783
3.001999999999891,-0.4999999999999146,-0.7853981633974483,-8.424395939002933e-13,-0.4996430212842864,-0.7775799564664383,-0.00035697871562823114,-0.7581022971391856,-0.7581022971417604,18.835053129299226,19.66736710391844,19.593155426440987,-0.24805345820835223
3.0039999999998908,-0.5015707859913039,-0.7853826603101131,0.015503036332941898,-0.501198192957837,-0.777585836775302,-0.00037259303346692807,-0.7586116869928774,-0.7112312384401511,18.956473816765662,19.74187293017212,19.667705055205815,-0.23271716641497422
3.0059999999998905,-0.5031415099707521,-0.7853361516601393,0.03100546063340164,-0.5027533149929779,-0.7775610175704731,-0.0003881949777742033,-0.7590916752015792,-0.6643326755038138,19.077877824402556,19.816331466090567,19.74221049990637,-0.217371866350565
3.0079999999998903,-0.5047121099287659,-0.7852586392836088,0.04650666089136543,-0.5043083259928528,-0.7775054999374421,-0.0004037839359131157,-0.7595422385209205,-0.6174084554628182,19.199260180361815,19.890739594442152,19.816668635824634,-0.20201816240923712
