#{"t_start": 1787711273.1771019, "env_id": "None"}
r,l,t
198.846021,200,147.353416
167.257946,200,147.746327
186.790164,200,148.130474
200.363697,200,148.51221
216.758848,200,148.894154
210.045794,200,149.280594
192.470361,200,150.227715
208.456687,200,150.615193
182.101789,200,151.005344
219.857831,200,151.390837
207.78494,200,151.769853
228.091338,200,152.145315
202.4815,200,152.526808
206.301998,200,152.905513
217.254533,200,153.289175
206.808269,200,153.675332
205.673654,200,154.612115
189.722076,200,154.989275
208.407835,200,155.367459
221.412472,200,155.750302
212.272001,200,156.139183
206.148497,200,156.526914
217.77837,200,156.916875
221.052213,200,157.300243
219.840729,200,157.690767
217.924184,200,158.076761
184.211909,200,159.032512
200.990839,200,159.420028
221.791215,200,159.800129
221.044181,200,160.194226
213.685702,200,160.573486
204.450463,200,160.96037
219.480338,200,161.340205
206.753041,200,161.721106
207.526618,200,162.104031
209.801809,200,162.483591
207.958581,200,163.437525
216.91954,200,163.821645
224.027636,200,164.216292
210.110405,200,164.58982
212.130777,200,164.974828
214.226156,200,165.345145
196.487487,200,165.735037
219.838076,200,166.159237
227.301125,200,166.54338
218.373426,200,166.919839
218.119227,200,167.302205
213.871376,200,168.294799
216.093204,200,168.68847
218.314468,200,169.092871
223.398772,200,169.487074
219.098975,200,169.878013
210.520301,200,170.296072
217.795697,200,170.704812
207.175275,200,171.098946
208.373732,200,171.499924
198.122265,200,171.882065
213.889728,200,173.046197
221.25749,200,173.444146
215.638806,200,173.874947
210.170466,200,174.260119
220.431342,200,174.641296
230.1496,200,175.030773
209.218436,200,175.417824
219.638016,200,175.794599
227.011513,200,176.178137
221.43061,200,176.559333
217.847707,200,177.496691
222.994272,200,177.872177
212.864895,200,178.267838
214.544733,200,178.642135
218.45931,200,179.025128
211.478477,200,179.400393
209.99968,200,179.78777
215.830362,200,180.168011
224.362924,200,180.548236
214.008552,200,180.935222
221.067377,200,181.912104
226.799815,200,182.295906
226.27977,200,182.679073
220.785266,200,183.058972
222.982544,200,183.438079
222.453615,200,183.815343
215.924627,200,184.210295
218.081305,200,184.59218
224.990224,200,184.968875
196.813829,200,185.35041
225.85218,200,185.729827
225.343357,200,186.645745
182.727511,200,187.032364
214.046055,200,187.430947
220.811578,200,187.809355
203.250969,200,188.189674
219.866145,200,188.56688
220.401643,200,188.950933
228.257078,200,189.328372
209.852958,200,189.703012
224.237303,200,190.085027
217.0287,200,191.02673
225.296838,200,191.402217
