time_s,desired_position_rad,desired_velocity_rad_s,actual_position_rad,actual_velocity_rad_s,position_error_rad,nominal_feedforward_torque_Nm,mpc_correction_torque_Nm,actual_command_torque_Nm,effective_inertia,dynamic_bias_Nm,solver_time_s,solver_status
2.019999999999999,-0.48430237011767246,0.7838483595291286,-0.4843733028415332,0.7845314076350511,-7.093272386071714e-05,19.838891272978074,0.16005113932247145,19.998942412300547,3.056172842864443,19.838891272978106,0.00553573699971821,optimal
2.039999999999997,-0.4686666916089264,0.7792050642919999,-0.46874075574843205,0.7800384344823372,-7.406413950566959e-05,18.61183172062516,0.15344406792974497,18.765275788554902,3.0561814069440785,19.08532406304399,0.005969200999970781,optimal
2.0599999999999947,-0.4531546713535729,0.7714866026510433,-0.45323212265597046,0.7724519539116685,-7.74513023975576e-05,17.3846220687619,0.14651705834835768,17.531139127110258,3.0561900300446165,18.32974076231315,0.0055756120000296505,optimal
2.0799999999999925,-0.4378275282087921,0.7607234358481263,-0.43790889033972047,0.7618034248669999,-8.136213092835298e-05,16.162379716941402,0.13939215965392418,16.301771876595325,3.056198703921056,17.57539748427572,0.005858322999756638,optimal
2.0999999999999903,-0.42274575140627035,0.7469580411853963,-0.4228317787066712,0.7481367848093807,-8.602730040085937e-05,14.95024632763542,0.13217742265313498,15.082423750288553,3.056207419095009,16.825589298583175,0.005441238999992493,optimal
2.119999999999988,-0.4079688618288393,0.7302447443867771,-0.40806049424702956,0.7315081964288987,-9.163241819026835e-05,13.753358788012816,0.12496401543024277,13.878322803443059,3.0562161645784482,16.083628479373388,0.0056278100000781706,optimal
2.139999999999986,-0.3935551771087419,0.7106495051991532,-0.393653489197867,0.7119857348752008,-9.8312089125141e-05,12.576819996051315,0.11782437166231659,12.69464436771363,3.0562249276289157,15.352822491142899,0.005642546999752085,optimal
2.1599999999999837,-0.37956158147458235,0.6882496570793851,-0.3796677275212178,0.6896490245531417,-0.00010614604663544691,11.425669861751327,0.11081138396554796,11.536481245716875,3.0562336933820737,14.636452074429833,0.005809951999708574,optimal
2.1799999999999815,-0.3660433012552632,0.6631336019944849,-0.3661584586506843,0.6645888288106704,-0.00011515739542111714,10.3048568869658,0.10395841289014188,10.408815299855942,3.056242444547622,13.937749767006764,0.005592522999904759,optimal
2.1999999999999793,-0.35305368692689487,0.6354004615394375,-0.35317899987382234,0.6369066003389461,-0.00012531294692746942,9.219210660242648,0.09728008497770033,9.31649074522035,3.0562511610117333,13.259879169496303,0.005916091000017332,optimal
2.219999999999977,-0.34064400256284155,0.6051596857495534,-0.34078052809360637,0.6067139948963991,-0.00013652553076481944,8.173415559392147,0.09077367889027621,8.264189238282423,3.0562598195258044,12.605915221635811,0.005405461999998806,optimal
2.239999999999975,-0.32886322351784225,0.5725306211511779,-0.32901188164184997,0.5741323546434481,-0.00014865812400771672,7.171985912781886,0.0844210876382685,7.256407000420154,3.056268393341024,11.978825714177669,0.005359094999676017,optimal
2.2599999999999727,-0.3177578431446618,0.5376420397554796,-0.3179193727153018,0.539292163659169,-0.0001615295706399733,6.219242818101202,0.07819120003743985,6.297434018138642,3.056276851937097,11.381454210379047,0.0057903050001186784,optimal
2.2799999999999705,-0.3073716893060675,0.5006316308541512,-0.3075466154991509,0.5023317760049935,-0.0001749261930834023,5.31929276742376,0.07204266347158125,5.391335430895341,3.0562851607493533,10.81650450180372,0.005655682999986311,optimal
2.2999999999999683,-0.2977457514062778,0.46164545762267756,-0.2979343828673135,0.463396884138987,-0.00018863146103570427,4.476008475044761,0.06596325857644261,4.541971733621204,3.0562932842635373,10.286526978372741,0.005468410000048607,optimal
2.319999999999966,-0.2889180186245106,0.4208373806757161,-0.28912042521554304,0.42264326925797985,-0.00020240659103243352,3.693011581175238,0.05998433434765021,3.752995915522888,3.056301210610975,9.79390660240067,0.005817597000259411,optimal
2.339999999999964,-0.2809233299890478,0.37836845084953835,-0.2811392968524873,0.380233971333242,-0.00021596686343949845,2.9736549070209906,0.054017448762642535,3.027672355783633,3.056308937275184,9.34085002835877,0.006161683999835077,optimal
2.3599999999999617,-0.27379323688350793,0.33440627360796027,-0.2740222357752977,0.33633720648373855,-0.00022899889178978894,2.321009239672345,0.04791059671000179,2.368919836382347,3.0563164368932103,8.929376842817078,0.00563740699999471,optimal
2.3799999999999595,-0.26755587852794893,0.2891243475801466,-0.26779706837073075,0.2911257010663174,-0.00024118984278181932,1.7378525288355746,0.04153884573901545,1.77939137457459,3.056323654118147,8.561312894981011,0.006000450000101409,optimal
2.3999999999999573,-0.262235870926222,0.2427013798407837,-0.26248812143176814,0.24477651430463682,-0.0002522505055461144,1.2266604686471911,0.03483798451020461,1.2614984531573958,3.0563305146486104,8.238284650945644,0.005428485000265937,optimal
2.419999999999955,-0.257854209717851,0.19532058063490354,-0.2581161381141046,0.19747080460095287,-0.00026192839625360786,0.7895982660106187,0.02779496919133697,0.8173932352019556,3.0563369346640004,7.961714335949175,0.006298049000179162,optimal
2.439999999999953,-0.2544281873178348,0.14716894033074215,-0.25469820077871974,0.14939338830865762,-0.0002700134608849547,0.4285135339898165,0.020425921453579098,0.4489394554433956,3.0563428275187356,7.732815780943177,0.006237354999939271,optimal
